artist,song,lirik,genre
Enau,Negara Lucu,"Sudut pandangku tentang mereka
Yang banyak tanya tanpa membaca
Katanya sekolah, tapi otaknya mana?
Tolong dirubah pola fikirnya
Banyak gaya, kosong isinya
Sedikit gerak, banyak maunya
Bangun, usaha untuk orang rumah
Biar kompormu tetap menyala
Yang susah, gayanya nomer satu
Sana-sini jadi benalu
Ini pandangan dari kacamataku
Tentang negara yang lucu
Bukan jalan buntu
(Huu...) 'Ku coba membantu
(Huu...) Merubah arahmu berlaku
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda
Banyak gaya, kosong isinya
Sedikit gerak, banyak maunya
Bangun, usaha untuk orang rumah
Biar kompormu tetap menyala
Yang susah, gayanya nomer satu
Yang senang hasil nipu
Ini pandangan dari kacamataku
Tentang negara yang lucu
Bukan jalan buntu
(Huu...) 'Ku coba membantu
(Huu...) Merubah arahmu berlaku
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna jika kau tak berbeda
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda, uh
Hoo, takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna jika kau tak berbeda
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda
Bukan jalan buntu (bukan jalan buntu)
'Ku coba membantu (membantu)
Huu...",indie
Fourtwnty,Fana Merah Jambu,"Di depan teras rumah
Fana merah jambu, ku berdua
Momen-momen tak palsu
Air tuhan turun, aromamu
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Hal bodoh jadi lucu
Obrolan tak perlu kala itu
Oh tersalurkan aliran syaraf buntu
Martin tua media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Rasanya tak cukup waktu
Terlalu cepat berlalu
Soreku nyaman denganmu
Menarilah, menarilah
Menarilah denganku
Genggam tangan cokelatku
Berputar-putar denganku
Menarilah denganku
Menarilah, menarilah
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Rasanya tak cukup waktu
Terlalu cepat berlalu
Soreku nyaman denganmu
Oh Menarilah, menarilah
Oh Menarilah denganku
Genggam tangan cokelatku
Berputar - putar denganku
Menarilah denganku
Menarilah",indie
Fletch,Tiga Pagi,"Dalam diam
Ada luka
Yang tertawa riang
Dan
Hening yang menangis
Terlalu dalam
Dalam diam
Ada luka
Yang tertawa riang
Dan
Hening yang menangis
Terlalu dalam
Ribuan cahaya
Hilangkan gelap
Menatapmu
Tak kuasa
Ku terserap
Kamu meredup
Aku tak hidup
Kamu meredup
Aku tak hidup
Kamu meredup
Dan aku
Tak hidup",indie
Float ,Pulang,"Dan lalu
Rasa itu tak mungkin lagi kini
Tersimpan di hati
Bawa aku pulang, rindu
Bersamamu
Mm-hmm
Dan lalu
Air mata tak mungkin lagi kini
Bicara tentang rasa
Bawa aku pulang, rindu
Segera
Jelajahi waktu
Ke tempat berteduh, hati kala biru
Dan lalu
Sekitarku tak mungkin lagi kini
Meringankan lara
Bawa aku pulang, rindu
Segera
Dan lalu
Oh, langkahku tak lagi jauh kini
Memudar biruku
Jangan lagi pulang
Jangan lagi datang
Jangan lagi pulang, rindu
Pergi jauh
Dan lalu (dan lalu)
Dan lalu (dan lalu)
Dan lalu
Dan lalu",indie
Float ,Sementara,"Sementara
Teduhlah, hatiku
Tidak lagi jauh
Belum saatnya kau jatuh
Sementara
Ingat lagi mimpi
Juga janji-janji
Jangan kau ingkari lagi
Percayalah, hati
Lebih dari ini pernah kita lalui
Jangan henti disini
Sementara
Lupakanlah rindu
Sadarlah, hatiku
Hanya ada kau dan aku
Dan, sementara
Akan kukarang cerita
Tentang mimpi jadi nyata
Untuk asa kita berdua
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Oh, la na
Oh, wa wa wa
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Untuk sementara saja
Untuk sementara saja",indie
Fourtwnty,Hitam Putih,"Bagai langit dan bumi
Yang tak pernah sealam
Bagai hitam dan putih
Yang tak pernah sewarna
Hanya kita yang merasakannya
Belajar melepaskan dirinya
Walau setengahku bersamanya
Ku yakin kita kan terbiasa
Walau inti jiwa tak terima
Bagai air dan api
Yang tak pernah senyawa
Bagai timur dan barat
Yang tak pernah searah
Belajar melepaskan dirinya
Walau setengahku bersamanya
Kuyakin kita kan terbiasa
Walau inti jiwa tak terima
Hu-uu-uu-uu
Hu-uu-uu-uu
Hu-uu-uu-uu
Hu-uu-uu-uu
Belajar melepaskan dirinya
Walau setengahku bersamanya
Ku yakin kita kan terbiasa
Walau inti jiwa tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima",indie
Fourtwnty,Kusut,"Tolong jauhkan nafsuku
Dari pesona hawamu
Aku terjangkit dan sakit
Terjebak diruang sempit
Membiru indraku
Susah payahku melepasmu
Terlihatku palsu
Tanpa rasamu menjamahku
Tanpa ragamu disampingku
Mungkin bukanlah wujudmu
Ranjang ternyaman bagiku
Henti bergumam hati
Cabutlah biar tak kusut
Membiru indraku
Susah payahku melepasmu
Terlihatku palsu
Tanpa rasamu menjamahku
Tanpa ragamu disampingku
Tanpa eratmu menggenggamku
Tanpa arahmu
Lagi
Menuntunku lagi
Menuntunku lagi
Menuntunku lagi
Menuntunku lagi",
Fourtwnty,Kita Pasti Tua,"Ini cerita ketika tulang mulai menua
Masih mungkin ada hasrat yang menggebu-gebu
Berkumpul dan bernyanyi seperti dulu
Wajah tampanku, keriput dan badanku membungkuk
Rasa ingin tak percaya kini ku menua
Tak menggoda layaknya saat muda
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Wajah tampanku, keriput dan badanku membungkuk
Rasa ingin tak percaya kini ku telah menua
Tak menggoda layaknya saat muda
Awas nanti tua
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Kita pasti tua
Mulai pelan dan pelupa
Rabun sudah bola mata
Ada yang tak berubah
Kita pasti tua
Kita pasti tua
Kita pasti tua
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Kita pasti tua
Mulai pelan dan pelupa
Rabun sudah bola mata
Ada yang tak berubah jiwa masih muda
Jika nanti sudah tua
Mulai jarang bersenggama
Tunggu saja waktunya
Kita pasti tua
Kita pasti tua",indie
Skinnyfabs,Happy,"Living all alone kinda forgot it's been that long
Since someone's gone
I've been trying to be a little bit strong
And it is not that easy to be exactly who I was
My shit is done
Now it's time for me try to moving on
'Cause if you think I'm such a happy person, no
You are wrong by saying my laughter is
Louder than yours, shut your freakin' mouth
No one knows what I feel and what I suffer
No they dont know, so keep your thoughts
And stop assuming that, someone is always fine
I keep thinking why my friends left me
I can go insane
Mom was right about that and now I can't trust again
But I think I don't really need no
Friends I'm alone and it's not that bad
Then again it hurts me so bad and people just don't know that
Maybe this time, I'ma take back what is mine
All the smiles, all the joys are still mine (are still mine)
There will be no more cryin'
There will be no more tryin'
These places I never belong
'Cause this guy now is gone
If you think I'm such a happy person, no
You are wrong by saying my laughter is
Louder than yours, shut your freakin mouth
No one knows what I feel and what I suffer
No they don't know, so keep your thoughts
And stop assuming that, someone is always fine
If you think I'm such a happy person, no
You are wrong by saying my laughter is
Louder than yours, shut your freakin mouth
No one knows what I feel and what I suffer
No they don't know
So keep your thoughts and stop assuming that, someone is always fine",indie
Hindia ft Rara Sekar,Membasuh,"Selama ini
Kunanti
Yang kuberikan datang berbalik
Tak kunjung pulang
Apa pun yang terbilang
Di daftar pamrihku seorang
Telah kusadar hidup bukanlah
Perihal mengambil yang kau tebar
Sedikit air yang kupunya
Milikmu juga bersama
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Kita bergerak dan bersuara
Berjalan jauh tumbuh bersama
Sempatkan pulang ke beranda
'Tuk mencatat hidup dan harganya
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku disini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Membasuh
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini",indie
Hindia,Rumah ke Rumah,"Menyesal tak kusampaikan
Cinta monyetku ke Kanya dan Rebecca
Apa kabar kalian di sana
Semoga hidup baik-baik saja
Tak belajar terkena getahnya
Saat bersama Thanya dan Saphira
Kupercaya mungkin bukan jalannya
Namun kalian banyak salah juga
Jika dahulu ku tak cepat berubah
Ini maafku untukmu Sharfina
Segala doa yang baik adanya
Untukmu dan mimpimu yang mulia
Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah
Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah
Hm
Maaf jika ku sering buat susah
Indisya Panda Anggra Caca Sismita
Prempuan terkuat dalam hidupku
Terjanglah apa pun yang kalian tuju
Kau datang saat gelapku merekah
Seluruh hatiku untukmu Meidiana
Kau pantas dapatkan yang baik di dunia
Smoga kita bertahan lama
Pindah berkala rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
Pindah berkala rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
Letih mengembara rumah ke rumah
Kadang ku lupa akanmu Amalia
Siap sedia tiap ku bercerita
Ku beruntung jadi anakmu Bunda
Pindah berkala rumah ke rumah
Selalu pada dirimu aku berserah
Jika aku disebut dalam sejarah
Mreka takkan lupa karna siapa
Pindah berkala rumah ke rumah
Selalu pada dirimu aku berserah
Jika aku disebut dalam sejarah
Mreka takkan lupa karna siapa",indie
Hindia,Secukupnya,"Kapan terakhir kali kamu dapat tertidur tenang (renggang)
Tak perlu memikirkan tentang apa yang akan datang di esok hari
Tubuh yang berpatah hati bergantung pada gaji
Berlomba jadi asri mengais validasi
Dan aku pun terhadir
Seakan paling mahir
Menenangkan dirimu
Yang merasa terpinggirkan dunia
Tak pernah adil
Kita semua gagal
Angkat minumanmu
Bersedih bersama-sama
Ah ah ah ah
Sia-sia pada akhirnya
Putus asa terekam pedih semua
Masalahnya lebih dari yang secukupnya
Rekam gambar dirimu yang terabadikan bertahun silam
Putra putri sakit hati Ayah Ibu sendiri
Komitmen lama mati hubungan yang menyepi
Wisata masa lalu
Kau hanya merindu
Mencari pelarian
Dari pengabdian yang terbakar sirna
Mengapur berdebu
Kita semua gagal
Ambil sedikit tisu
Bersedihlah secukupnya
Ah ah ah ah
Secukupnya kan masih ada
Penggantinya belum waktunya kau bisa
Menjawabnya ah ah ah ah ah secukupnya
Semua yang sirna kan kembali lagi
Semua yang sirna kan nanti berganti",indie
Kunto Aji,Rehat,"Serah serahkan apa
Masih terjalin suaramu terdengar
Masilahnya rindang bergema
Di ruang-ruang hatimu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Yang dicari hilang
Yang dikejar lari
Yang ditunggu
Yang diharap
Biarkanlah semeta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Jangan berhenti
Yang kau takutkan takkan terjadi
Kita coba lagi
Untuk lari berlari
Kita coba lagi
Yang ditunggu
Yang diharap
Biarkanlah semeta bekerja
Untukmu
Tenangkan hati
Semua ini bukan salahmu
Terus berlari
Yang kau takutkan takkan terjadi",indie
Nadin Amizah,Bertaut,"Bun, hidup berjalan seperti bajingan
Seperti landak yang tak punya teman
Ia menggonggong bak suara hujan
Dan kau pangeranku, mengambil peran
Bun, kalau saat hancur ku disayang
Apalagi saat ku jadi juara
Saat tak tahu arah kau di sana
Menjadi gagah saat ku tak bisa
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Bun, aku masih tak mengerti banyak hal
Semuanya berenang di kepala
Dan kau dan semua yang kau tahu tentangnya
Menjadi jawab saat ku bertanya
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu
Semoga lama hidupmu di sini
Melihatku berjuang sampai akhir
Seperti detak jantung yang bertaut
Nyawaku nyala karena denganmu",indie
Nadin Amizah,Rumpang,"Pagi tadi aku masih menangis
Ada rasa yang tak kunjung mati
Ada seseorang di atasku
Menahan semua rasa malu
Sempat ku berpikir masih bermimpi
24/7 tanpa henti
Matahari dan bulan saksinya
Ada rasa yang tak mau hilang
Aku takut sepi tapi yang lain tak berarti
Katanya mimpiku 'kan terwujud
Mereka lupa tentang mimpi buruk
Tentang kata maaf, sayang aku harus pergi
Sudah kuucap semua pinta
Sebelum ku memejamkan mata
Tapi selalu saja kamu tetap harus pergi
Sempat ku berpikir masih bermimpi
Bertahun berlanjut tanpa henti
Kulitmu yang memudar saksinya
Tetap rasaku tak pernah hilang
Aku takut sepi tapi yang lain tak berarti
Katanya mimpiku 'kan terwujud
Mereka lupa tentang mimpi buruk
Tentang kata maaf, sayang aku harus pergi
Sudah kuucap semua pinta
Sebelum ku memejamkan mata
Tapi selalu saja kamu tetap harus pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu pergi
Banyak yang tak ku ahli
Begitu pula menyambutmu tak kembali
Katanya, mimpiku, akan terwujud
Mereka, berbohong, mimpiku tetap semu",indie
Nadin Amizah,Sorai,"Langit dan laut saling membantu
Mencipta awan hujan pun turun
Ketika dunia saling membantu
Lihat cinta mana yang tak jadi satu
Kau memang manusia sedikit kata
Bolehkah aku yang berbicara
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta
Awan dan alam saling bersentuh (bersentuh)
Mencipta hangat kau pun tersenyum
Ketika itu kulihat syahdu
Lihat hati mana yang tak akan jatuh
Kau memang manusia sedikit kata
Bolehkah aku yang berbicara
Kau memang manusia tak kasat rasa
Biar aku yang mengemban cinta
Kau dan aku saling membantu
Membasuh hati yang pernah pilu
Mungkin akhirnya tak jadi satu
Namun bersorai pernah bertemu",indie
Pamungkas,Kenangan Manis,"Tawa yang terlepas tanpa ada makna
Cerita lama yang selalu dibawa
Diam-diam hati ini mengerti
Teringat dan jadi ciri tentangmu, tentangmu
'Tuk sementara, sampai berjumpa
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
Semua mimpi tinggi dan segala drama
Dijadikan canda, dikeluh bersama
Terkadang-kadang mata bicara
Seakan-akan semua rahasia
Oh, kebodohan antara kita jadi kenangan manis
'Tuk sementara, sampai berjumpa
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
'Tuk sementara, sampai berjuma
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
Kenangan manis sehari ini
Jadi alasan untuk kembali (alasan untuk kembali)
Yeah, jadi alasan untuk kembali",indie
Tulus,Monokrom,"Lembaran foto hitam putih
Aku coba ingat lagi
Warna bajumu kala itu
Kali pertama di hidupku
Manusia lain memelukku
Lembaran foto hitam putih
Aku coba ingat lagi
Wangi rumah di sore itu
Kue coklat, balon warna-warni
Pesta hari ulang tahunku
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku
Dan banyak kenangan indah
Kau melukis aku
Lembaran foto hitam putih
Kembali teringat malam, kuhitung-hitung bintang
Saat mataku sulit tidur, suaramu buatku lelap
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku
Dan banyak kenangan indah
Kau melukis aku
Kita tak pernah tahu
Berapa lama kita diberi waktu
Jika aku pergi lebih dulu, jangan lupakan aku
Ini lagu untukmu, ungkapan terima kasihku
Lembar monokrom hitam putih
Aku coba ingat warna demi warna dihidupku
Tak akan kumengenal cinta bila bukan karena hati baikmu",pop
Budi Doremi,Melukis Senja,"Aku mengerti perjalanan hidup yang kini kau lalui
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak mudah
Biar ku menemanimu membasuh lelah mu
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia
Aku disini walau letih coba lagi jangan berhenti
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak indah
Biar ku menemanimu membasuh lelah mu
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia hah
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia
Tuk temanimu yang terluka
Hingga kau bahagia",pop
Febi Putri ft Fiersa Besari,Runtuh,"Ku terbangun lagi
Diantara sepi hanya pikiran yang ramai
Mengutuki diri
Tak bisa kembali tuk mengubah alur kisah

Ketika mereka meminta tawa
Ternyata rela tak semudah kata

Tak perlu khawatir ku hanya terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Sebelum kembali membohongi diri

Ketika kau lelah
Berhentilah dulu, beri ruang, beri waktu
Mereka bilang syukurilah saja
Padahal rela tak semudah kata

Tak perlu khawatir ku hanya terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Sebelum kembali membohongi diri

Ha ha ha aaa
Ha ha ha aaa
Ha ha ha aaaa

Kita hanyalah manusia yang terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Ku tak ingin lagi membohongi diri
Ku ingin belajar menerima diri",pop
Kaleb J,It's Only me,"Selama ini
Ribuan Hari
Kudekat denganmu
Lewati berbagai hal, ku ada di sisi mu

Tanpa kau tahu perasaan ku padamu
Sendiri ku berharap

Memberi kasih walau tak kembali
I maybe not yours and you’re not mine
But I’ll be there for you when you need me
It is only me
Believe me girl, it’s only me
Yeah, it’s only me!

I will always be the one who pull you up
When everybody push you down
And it’s only me

Believe me girl, it’s only me!
Yeah it’s only me

Sekali pun, kau tak pernah perdulikan rasa ku
Ku takkan acuhkan dirimu

Tapi kuharap

Suatu saat nanti kau tahu
Sendiri ku berharap
Memberi kasih
walau tak kembali

I maybe not yours and you’re not mine
But I’ll be there for you when you need me
It is only me
Believe me girl, it’s only me
Yeah, it’s only me!
I will always be the one who pull you up
When everybody push you down
And it’s only me

Believe me girl, it’s only me!
Yeah it’s only me

Aku memang bukan
Rasa yang kau mau
Namun ku kan slalu ada
Untukmu
Untukmu",pop
Tulus,Pamit,"Tubuh saling bersandar
Ke arah mata angin berbeda
Kau menunggu datangnya malam
Saat kumenanti fajar
Sudah coba berbagai cara
Agar kita tetap bersama
Yang tersisa dari kisah ini
Hanya kau takut kuhilang
Perdebatan apapun menuju kata pisah
Jangan paksakan genggamanmu
Izinkan aku pergi dulu
Yang berubah hanya
Tak lagi kumilikmu
Kau masih bisa melihatku
Kau harus percaya
Kutetap teman baikmu
Sudah coba berbagai cara
Agar kita tetap bersama
Yang tersisa dari kisah ini
Hanya kau takut kuhilang
Perdebatan apapun menuju kata pisah
Jangan paksakan genggamanmu
Yang berubah hanya
Tak lagi kumilikmu
Kau harus percaya
Kutetap teman baikmu
Izinkan aku pergi dulu
Yang berubah hanya
Tak lagi kumilikmu
Kau masih bisa melihatku
Kau harus percaya
Kutetap teman baikmu",pop
Sheila on 7,Anugerah Terindah,"Melihat tawamu
Mendengar senandungmu
Terlihat jelas dimataku
Warna - warna indahmu
Menatap langkahmu
Meratapi kisah hidupmu
Terlihat jelas bahwa hatimu
Anugerah terindah yang pernah kumiliki
Sifatmu nan s'lalu
Redakan ambisiku
Tepikan khilafku
Dari bunga yang layu
Saat kau disisiku
Kembali dunia ceria
Tegaskan bahwa kamu
Anugerah terindah yang pernah kumiliki
Belai lembut jarimu
Sejuk tatap wajahmu
Hangat peluk janjimu
Anugrah terindah yang pernah ku miliki",pop
Eclat Story,Bentuk Cinta,"Aku tak tau apa yang lain
Darimu hari ini
Apa itu karena sepatu flatmu
Atau kukumu yang baru kau warnai
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu
Kini ku tau apa yang lain
Darimu hari ini
Itu bukan karena sepatu flatmu
Atau kukumu yang baru kau warnai
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu
Oh oh
Pernahkah kau bertanya
Seperti apa bentuk air tanpa wadah
Pernah pernahkah kau mengira
Seperti apa bentuk cinta oh
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci yeah
Rambut warna warni bagai gulali
Imut lucu walau tak terlalu tinggi
Pipi chuby dan kulit putih
Senyum manis gigi kelinci
Membuatku tersadar bentuk cinta itu
Ya kamu hu oh
Cuma dirimu hu
Untuku bentuk cinta itu kamu
Oh ya kamu",pop
Glenn Fredly,Januari,"Berat bebanku
Meninggalkanmu
Separuh nafas jiwaku sirna
Bukan salahmu
Apa dayaku
Mungkin benar cinta sejati tak berpihak pada kita
Kasihku
Sampai disini kisah kita
Jangan tangisi keadaannya
Bukan karena kita berbeda
Dengarkan
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita
Berakhir di Januari
Selamat tinggal kisah sejatiku
Wow pergilah
Kasihku
Sampai disini kisah kita
Jangan tangisi keadaannya
Bukan karena kita berbeda wow
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita berakhir di januari (wow ye he oh)
Dengarkan lagu lagu ini
Melodi rintihan hati ini
Kisah kita berakhir wow
Berakhir
Berakhir di januari (hu)
Berakhir di januari",pop
Jason Mraz,Could I Love You Anymore,"Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh
Full moon, bedroom, stars in your eyes
Last night, the first time that I realized
The glow between us felt so right
We sat on the edge of the bed and you said
""I never knew that I could feel this way""
Love today can be so difficult
But what we have I know is different
'Cause when I'm with you the world stops turning
Could I love you any more?
Could I love you any more?
Could I love you any more?
Sunrise, time flies, feels like a dream
Being close, inhaling, hard to believe
Seven billion people in the world
Finding you is like a miracle
Only this wonder remains
Could I love you any more?
Could I love you any more?
Could I love you any more?
Mmm
Softly, slowly
Love unfolding
Could this love be true?
Could I love you any more?
Could I love you any more?
Could I love you any more?
Could I love you any more? (the question's rhetorical)
Could I love you any more? (oh, this feels phenomenal)
Could I love you any more? (love is all there is)
Could I love you any more? (it's inexhaustible)
Could I love you any more? (oh, love's unstoppable)
Could I love you any more? (love is all there is)
Softly, slowly
Love unfolding (could this love be true?)
Could this love be true?
Could I love you any more?
Could I love you any more?
Could I love you any more?",pop
Azmi,Pernah,"Ada apa kau bertemu dia
Mungkinkah kau ingin bagi cintamu?
Jika memang kau bagi cintamu
Masih pantaskah kujaga hatiku?
Ingatkah semua kata yang kau ucap dulu?
Kau berjanji untuk setia
Kini kutanya ke mana janji itu kau buang?
Pernah sakit tapi tak pernah sesakit ini
Karena pernah cinta tapi tak pernah sedalam ini
Aku ingin semua cintamu hanya untukku
Memang 'ku tak rela kau bagi untuk hati yang lain
Jika memang kau bagi cintamu
Ke mana janji itu kau buang?
Ho-oo-ooo ...
Kau buat 'ku menangis tanpa air mata
Sampai kuteriak pun sudah tak ada suara
Ho-oo-ooo ...
Pernah sakit tapi tak pernah sesakit ini
Karena pernah cinta tapi tak pernah sedalam ini
Aku ingin semua cintamu hanya untukku
Memang 'ku tak rela kau bagi untuk hati yang lain
(Pernah sakit, pernah cinta)
Aku tak rela kau bagi untuk hati yang lain",pop
Shawn Mendes,It'll be Okay,"Are we gonna make it?
Is this gonna hurt?
Oh, we can try to sedate it
But that never works
Yeah
I start to imagine a world where we don't collide
It's making me sick, but we'll heal and the sun will rise
If you tell me you're leaving, I'll make it easy
It'll be okay
If we can't stop the bleeding
We don't have to fix it, we don't have to stay
I will love you either way
Ooh-ooh, it'll be oh, be okay
Ooh-ooh
Oh, the future we dreamed of is fading to black
Oh
Oh, there's nothing more painful
Nothing more painful, oh-woah
I start to imagine a world where we don't collide
And it's making me sick, but we'll heal and the sun will rise
If you tell me you're leaving, I'll make it easy
It'll be okay (It'll be okay)
And if we can't stop the bleeding
We don't have to fix it, we don't have to stay (don't have to stay)
I will love you either way
Ooh-ooh, it'll be oh, be okay
Ooh-ooh
I will love you either way
It might be so sweet
It might be so bitter
I will love you either way
It might be so sweet
It might be so bitter (ooh-ooh)
Oh, if the future we've dreamed of is fading to black
I will love you either way",pop
Pink Sweet,At My Worst,"Can I call you baby?
Can you be my friend?
Can you be my lover up until the very end?
Let me show you love, oh, I don't pretend
Stick by my side even when the world is givin' in, yeah
Oh, oh, oh, don't
Don't you worry
I'll be there, whenever you want me
I need somebody who can love me at my worst
No, I'm not perfect, but I hope you see my worth
'Cause it's only you, nobody new, I put you first
And for you, girl, I swear I'll do the worst
If you stay forever, let me hold your hand
I can fill those places in your heart no else can
Let me show you love, oh, I don't pretend, yeah
I'll be right here, baby, you know I'll sink or swim
Oh, oh, oh, don't
Don't you worry
I'll be there, whenever you want me
I need somebody who can love me at my worst
No, I'm not perfect, but I hope you see my worth, yeah
'Cause it's only you, nobody new, I put you first (put you first)
And for you, girl, I swear I'll do the worst
I need somebody who can love me at my worst
No, I'm not perfect, but I hope you see my worth
'Cause it's only you, nobody new, I put you first
And for you, girl, I swear I'll do the worst",pop
