artist,song,lirik,language,genre,Label
Fletch,Tiga Pagi,"Dalam diam
Ada luka
Yang tertawa riang
Dan
Hening yang menangis
Terlalu dalam
Dalam diam
Ada luka
Yang tertawa riang
Dan
Hening yang menangis
Terlalu dalam
Ribuan cahaya
Hilangkan gelap
Menatapmu
Tak kuasa
Ku terserap
Kamu meredup
Aku tak hidup
Kamu meredup
Aku tak hidup
Kamu meredup
Dan aku
Tak hidup",indonesian,indie,FALSE
Float ,Pulang,"Dan lalu
Rasa itu tak mungkin lagi kini
Tersimpan di hati
Bawa aku pulang, rindu
Bersamamu
Mm-hmm
Dan lalu
Air mata tak mungkin lagi kini
Bicara tentang rasa
Bawa aku pulang, rindu
Segera
Jelajahi waktu
Ke tempat berteduh, hati kala biru
Dan lalu
Sekitarku tak mungkin lagi kini
Meringankan lara
Bawa aku pulang, rindu
Segera
Dan lalu
Oh, langkahku tak lagi jauh kini
Memudar biruku
Jangan lagi pulang
Jangan lagi datang
Jangan lagi pulang, rindu
Pergi jauh
Dan lalu (dan lalu)
Dan lalu (dan lalu)
Dan lalu
Dan lalu",indonesian,indie,FALSE
Float ,Sementara,"Sementara
Teduhlah, hatiku
Tidak lagi jauh
Belum saatnya kau jatuh
Sementara
Ingat lagi mimpi
Juga janji-janji
Jangan kau ingkari lagi
Percayalah, hati
Lebih dari ini pernah kita lalui
Jangan henti disini
Sementara
Lupakanlah rindu
Sadarlah, hatiku
Hanya ada kau dan aku
Dan, sementara
Akan kukarang cerita
Tentang mimpi jadi nyata
Untuk asa kita berdua
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Oh, la na
Oh, wa wa wa
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Percayalah, hati
Lebih dari ini pernah kita lalui
Takkan lagi kita mesti jauh melangkah
Nikmatilah lara
Untuk sementara saja
Untuk sementara saja",indonesian,indie,FALSE
Fourtwnty,Hitam Putih,"Bagai langit dan bumi
Yang tak pernah sealam
Bagai hitam dan putih
Yang tak pernah sewarna
Hanya kita yang merasakannya
Belajar melepaskan dirinya
Walau setengahku bersamanya
Ku yakin kita kan terbiasa
Walau inti jiwa tak terima
Bagai air dan api
Yang tak pernah senyawa
Bagai timur dan barat
Yang tak pernah searah
Belajar melepaskan dirinya
Walau setengahku bersamanya
Kuyakin kita kan terbiasa
Walau inti jiwa tak terima
Hu-uu-uu-uu
Hu-uu-uu-uu
Hu-uu-uu-uu
Hu-uu-uu-uu
Belajar melepaskan dirinya
Walau setengahku bersamanya
Ku yakin kita kan terbiasa
Walau inti jiwa tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima
Tak terima tak terima",indonesian,indie,FALSE
Fourtwnty,Kusut,"Tolong jauhkan nafsuku
Dari pesona hawamu
Aku terjangkit dan sakit
Terjebak diruang sempit
Membiru indraku
Susah payahku melepasmu
Terlihatku palsu
Tanpa rasamu menjamahku
Tanpa ragamu disampingku
Mungkin bukanlah wujudmu
Ranjang ternyaman bagiku
Henti bergumam hati
Cabutlah biar tak kusut
Membiru indraku
Susah payahku melepasmu
Terlihatku palsu
Tanpa rasamu menjamahku
Tanpa ragamu disampingku
Tanpa eratmu menggenggamku
Tanpa arahmu
Lagi
Menuntunku lagi
Menuntunku lagi
Menuntunku lagi
Menuntunku lagi",indonesian,indie,FALSE
Noah,Separuh Aku,"Dan terjadi lagi
Kisah lama yang terulang kembali
Kau terluka lagi
Dari cinta rumit yang kau jalaniAku ingin kau merasa
Kamu mengerti aku mengerti kamu
Aku ingin kau sadari
Cintamu bukanlah diaDengar laraku
Suara hati memanggil namamu
Kar'na separuh aku
DirimuKu ada di sini
Pahamilah, kau tak pernah sendiri
Kar'na aku s'lalu
Di dekatmu saat engkau terjatuhAku ingin kau merasa
Kamu mengerti aku mengerti kamu
Aku ingin kau pahami
Cintamu bukanlah diaDengar laraku
Suara hati memanggil namamu
Kar'na separuh aku
Dirimu, uh-ohAh-ah, oh-ohDengar laraku
Suara hati ini memanggil namamu
Kar'na separuh akuMenyentuh laramu
Semua lukamu t'lah menjadi lirihku
Kar'na separuh aku
Dirimu",indonesian,pop,FALSE
Judika,Bagaimana Kalau Aku Tidak Baik Baik Saja,"Hm hmAndai aku bisa memutar waktu
Aku tak ingin mengenalmu
Mengapa ada pertemuan itu
Yang membuat aku mencintaimuBagaimana kalau aku tidak baik-baik saja
Terus mengingatmu
Memikirkanmu
Semua tentang dirimuBagaimana kalau aku tidak baik-baik saja
Tak seperti kamu
Yang mampu tanpaku
BagaimanaMungkin kini kau bersama yang lain
Walau hatimu untukku
Adakah kesempatan untuk cintaku
Bahagia walau kita berbedaUh oh uh oh uh oh
Hu uh oh uh oh
Mungkin kamu bukan untukku
Tapi kau selalu di hatiku
Oh uh ohBagaimanaOh oh
Bagaimana kalau aku tidak baik-baik saja
Terus mengingatmu
Memikirkanmu
Semua tentang dirimuBagaimana kalau aku tidak baik-baik saja
Tak seperti kamu
Yang mampu tanpaku
Tak seperti kamu
Bagaimana",indonesian,pop,FALSE
Last Child,Duka,"Kau membunuhku dengan kepedihan ini
Kau hempaskanku kedalam retaknya hati
Hingga air mata tak mampu
Tuk melukiskan perih
Yang kau ukir dalam hati iniKau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa
Tuk terbang tinggi lagiDan mencari bintang
Yang dapat menggantikanmu
Sampai kini masih kucoba
Tuk terjaga dari mimpikuYang buatku tak sadar
Bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata
Yang jatuh kuatkan rinduku
Pada indah bayangmu canda tawamu
Pada indahnya duka dalam kenangan kitaKau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa
Tuk terbang tinggi lagiDan mencari bintang
Yang dapat menggantikanmu
Sampai kini masih kucoba
Tuk terjaga dari mimpikuYang buatku tak sadar
Bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimuDan tiap tetes air mata
Yang jatuh kuatkan rinduku
Pada indah bayangmu canda tawamu
Pada indahnya duka dalam kenangan kitaSampai kini masih kucoba
Tuk terjaga dari mimpiku
Yang buatku tak sadar
Bahwa kau bukan lagi milikkuWalau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata
Yang jatuh kuatkan rindukuPada indah bayangmu canda tawamu
Pada indahnya duka dalam kenangan kita",indonesian,pop,FALSE
Tiara Andini,365,"Tiga ratus enam puluh lima hari
Bayangmu masih menghalangi hatiku berlari
Bagaimana kubisa temukan cinta yang baru
Bila kau masih di fikirankuMasih jelas di telinga
Manisnya suara
Derap langkah kita yang biasa seirama
Kau tuntunku tuk mencinta
Namun tiba-tiba
Kau melangkah kearah berbedaMeski waktu memang bisa sembuhkan luka
Kearah melangkah ke arah beda
Namun waktu tak bisa ajak hati melupa ohTiga ratus enam puluh lima hari
Bayangmu masih menghalangi hatiku berlari
Bagaimana kubisa temukan cinta yang baru
Bila kau masih di fikirankuEntah mengapa luka yang ada
Telah hapus sulit dan luka
Meski ku hapus kenanganan di dada oh
Namun dirimu selalu adaMeski waktu memang bisa sembuhkan luka
Kearah yang berbeda
Namun waktu tak bisa ajak hati melupa ohTiga ratus enam puluh lima hari
Bayangmu masih menghalangi hatiku berlari
Bagaimana kubisa temukan cinta yang baru
Bila kau masih di fikirankuMasih jelas di telinga
Manis kau berkata
Kau takkan pernah tinggalkan aku",indonesian,pop,FALSE
Lyodra Ginting,Pesan Terakhir,"
T'lah kucoba t'rus bertahan
Tentang cinta yang kurasa
Ku mencinta, kau tak cinta
Tak sanggup ku terus bertahanSadar ku tak berhak untuk terus memaksamu
Memaksamu mencintaiku sepenuh hati
Aku 'kan berusaha untuk melupakanmu
Tapi terimalah permintaan terakhirkuGenggam tanganku, sayang
Dekat denganku, peluk diriku
Berdiri tegak di depan aku
Cium keningku 'tuk yang terakhirKu 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmu, ho-ohKu tak membencimu
Kuharap kau pun begitu, ha-ah (kuharap begitu), yeah, yeay
Tak ingin kau jauh
Tapi takdir menginginkan kita 'tuk berpisahGenggam tanganku, sayang
Dekat denganku, peluk diriku
Berdiri tegak di depan aku
Cium keningku 'tuk yang terakhirKu 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmuHo-oh
(Dekat denganku, peluk diriku) Oh-oh
(Berdiri tegak di depan aku)
(Cium keningku 'tuk) yang terakhirKu 'kan menghilang jauh darimu
Tak terlihat sehelai rambut pun
Tapi di mana nanti kau terluka
Cari aku, ku ada untukmuTapi di mana nanti kau terluka
Cari aku, ku ada untukmu",indonesian,pop,FALSE
Anji,Menunggu Kamu,"
Ku selalu mencoba
Untuk menguatkan hati
Dari kamu yang belum juga kembaliAda satu keyakinan
Yang membuatku bertahan
Penantian ini kan terbayar pastiLihat aku sayang
Yang sudah berjuang
Menunggumu datang
Menjemputmu pulangIngat slalu sayang
Hati ku kau genggam
Aku tak kan pergi
Menunggu kamu di sini
Tetap di siniJika bukan kepadamu
Aku tidak tau lagi
Pada siapa rindu ini kan ku beri
Pada siapa rindu ini kan ku beriLihat aku sayang
Yang sudah berjuang
Menunggumu datang
Menjemputmu pulangIngat slalu sayang
Hati ku kau genggam
Aku tak kan pergi
Menunggu kamu di sini
Di siniLihat aku sayang
Yang sudah berjuang
Menunggumu datang
Menjemputmu pulangIngat slalu sayang
Hati ku kau genggam
Aku tak kan pergi
Aku tak kan pergi
Menunggu kamu di sini",indonesian,pop,FALSE
Anneth Delliecia,Mungkin Hari Ini Esok Atau Nanti,"Kuhampiri jalan yang kita lewati
Setiap hari kita di sini
Ku menanti hadirmu 'tuk kembali
Hanya kenangan yang tersisa di siniNamun s'karang kau t'lah pergi
Dan kuyakini kau takkan kembaliMungkin hari ini, hari esok, atau nanti
Berjuta memori yang terpatri dalam hati ini
Mungkin hari ini, hari esok, atau nanti
Tak lagi saling menyapa
Meski ku masih harapkanmuKu menanti hadirmu 'tuk kembali
Hanya kenangan yang tersisa di sini (namun sekarang)Namun s'karang kau t'lah pergi (pergi)
Dan kuyakini kau takkan kembaliMungkin hari ini, hari esok, atau nanti
Berjuta memori yang terpatri dalam hati ini
Mungkin hari ini, hari esok, atau nanti
Tak lagi saling menyapa
Meski ku masih harapkanmuSesungguhnya hatiku tak sanggup menerima
Dan lupakan s'galanyaMungkin hari ini, hari esok, atau nanti
Berjuta memori yang terpatri dalam hati ini
Mungkin hari ini, hari esok, atau nanti
Tak lagi saling menyapa
Meski ku masih harapkanmu (harapkanmu), oh-oh
Meski ku masih harapkanmu, oh-ohKurelakanmu",indonesian,pop,FALSE
Andmesh Kamaleng,Tiba Tiba,"Hmm-mm-mmTiba-tiba ku teringat dirinya
Dan semua cerita-cerita indah
Tentangku dan dia
Tiba-tiba dalam hati bertanya
""Sedang apa? dan dimana dia?""
""Masihkah dia menyimpan rasa?""Rasa ini tiba-tiba ada
Setelah sekian lama kita berpisah
Atau mungkin memang masih ada rasa
Semoga dia rasakan yang samaStu-du-du-du-du (uh-uu-uu, ha-ha-ha-aa-aa)
Stu-du-du-du-du (uh-uu-uu, ha-ha-ha-aa-aa)Tiba-tiba dalam hati bertanya (bertanya)
""Sedang apa? dan dimana dia?"" (what?)
""Masihkah dia menyimpan rasa?""
""Masihkah dia menyimpan rasa?"", ah-ohRasa ini tiba-tiba ada
Setelah sekian lama kita berpisah
Atau mungkin memang masih ada rasa
Semoga dia rasakan yang sama
(Tiba dia, tiba diam, tiba-tiba)Rasa ini tiba-tiba ada
Setelah kita berpisah
Atau mungkin masih ada rasa (atau mungkin ada rasa)
Ha-aa, semoga, (uu-oo)Rasa ini tiba-tiba ada
Setelah sekian lama kita berpisah
Atau mungkin memang masih ada rasa
Semoga dia rasakanRasa ini tiba-tiba ada (hu-oo-oo-ho-wo)
Setelah sekian lama kita berpisah
(Atau mungkin) memang masih ada rasa
Semoga dia rasakanSemoga dia rasakan yang samaSemoga dia rasakan yang sama, oo-ooh (ha-aa-ah, ha-aa-ah)
(Semoga dia rasakan yang sama)
Semoga dia rasakan yang sama, ho-oo yeah (ha-aa-ah, ha-aa-ah)
Semoga dia rasakan yang sama",indonesian,pop,FALSE
Budi Doremi,Melukis Senja,"Aku mengerti perjalanan hidup yang kini kau lalui
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak mudah
Biar ku menemanimu membasuh lelah muIzinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagiaAku disini walau letih coba lagi jangan berhenti
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak indah
Biar ku menemanimu membasuh lelah muIzinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia hahIzinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia
Tuk temanimu yang terluka
Hingga kau bahagia",indonesian,pop,FALSE
Petrus Mahendra,Luka Yang Kurindu,"Lebih baik diam
Dan menghapus dendam
Tak lagi bicara
Agar tak semakin terlukaCinta punya batas
Tak harus saling keras
Tak bisa di paksaSegala yang kau ucap bohong
Kau lakukan omong kosong
Tak perlu lagi percaya
Kau hanya pura-pura
Kita di ujung perpisahan
Namun selalu ku rindukan
Kau luka yang ku rinduHo hoCinta punya batas
Tak harus saling keras
Tak bisa di paksaSegala yang kau ucap bohong
Kau lakukan omong kosong
Tak perlu lagi percaya
Kau hanya pura-pura
Kita di ujung perpisahan
Namun selalu ku rindukan
Kau luka yang ku rinduLelah ku menangis (oh)
Terluka karnamu
Ini kekalahanku
Wo uwo wo oh
Pergi lupakanlah aku
Biar aku yang bertahanSegala yang kau ucap bohong
Kau lakukan omong kosong
Tak perlu lagi percaya
Kau hanya pura-pura
Kita di ujung perpisahan
Namun selalu ku rindukan
Kau luka yang ku rinduKau luka yang ku rindu",indonesian,pop,FALSE
Chintya Gabriella,Lelah Dilatih Rindu,"Ku benci hari ini
Kamu tak di sini
Kau minta aku
Berfikir tanpa marah dan cemburuSalahnya memang ada di aku
Cemburui kamu
Aku tak mampu sikapi rasa rindu
Yang memburuTidakkah boleh jika aku cemburu
Kulakukan karena aku cinta kamu
Jangan begini
Aku tak mau sendiri di sini dan berteman sepiMungkin ku lelah dilatih rindu
Jauh dari kamu
Aku takut kehilangan dirimu
Hingga butakankuTidakkah boleh jika aku cemburu
Kulakukan karena aku cinta kamu
Jangan begini
Aku tak mau sendiri di sini dan berteman sepiTidakkah boleh jika aku cemburu
Kulakukan karena aku cinta kamu
Maafkan aku yang terbakar cemburu
Kulakukan karena aku cinta kamuPercaya aku tak akan ulangi lagi
Asalkan kamu tak khianati
Kau tak khianati
Jangan begini",indonesian,pop,FALSE
Mahalini,Melawan Restu,"Hm-mmIndah semua cerita
Yang t'lah terlewati dalam satu cinta
Kita yang pernah bermimpi
Jalani semua, hanya ada kitaNamun ternyata, pada akhirnya
Tak mungkin bisa kupaksa
Restunya tak berpihak
Pada kitaMungkinkah aku meminta
Kisah kita selamanya?
Tak terlintas dalam benakku
Bila hariku tanpamuS'gala cara t'lah kucoba
Pertahankan cinta kita
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu melawan restuNamun ternyata, pada akhirnya
Tak mungkin bisa kupaksa
Restunya tak berpihak
Pada kitaMungkinkah aku meminta
Kisah kita selamanya?
Tak terlintas dalam benakku
Bila hariku tanpamuS'gala cara t'lah kucoba
Pertahankan cinta kita (cinta kita)
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu melawan restu, ho-ohHo-ho-wo-oh
Ho-oh-ohMungkinkah aku meminta
Kisah kita selamanya?
Tak terlintas dalam benakku
Bila hariku tanpamuS'gala cara t'lah kucoba
Pertahankan cinta kita
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu melawan restu",indonesian,pop,FALSE
Haico,Bahagia Bersamamu,"Bahagiaku bersamamu
Senang bila dekat denganmu
Kamu mahluk yang aku tuju
Yang lainnya ku tidak mauGenggam erat tanganku sayang
Dan jangan pernah kau lepaskan
Karena aku butuh bimbingan
Cinta ku jangan kau lewatkanBahagia aku bila bersamamu
Tenang hatiku dalam pelukanmu
Tetap denganku hingga kau menua
Hingga memutih rambutmuSenang hatiku hidup bersamamu
Belahan jiwa jagalah diriku
Karena denganmu damai lah hatiku
Menualah bersamakuGenggam erat tanganku sayang
Dan jangan pernah kau lepaskan
Karena aku butuh bimbingan
Cinta ku jangan kau lewatkanBahagia aku bila bersamamu
Tenang hatiku dalam pelukanmu
Tetap denganku hingga kau menua
Hingga memutih rambutmuSenang hatiku hidup bersamamu
Belahan jiwa jagalah diriku
Karena denganmu damai lah hatiku
Menualah bersamakuBahagia aku bila bersamamu
Tenang hatiku dalam pelukanmu
Tetap denganku hingga kau menua
Hingga memutih rambutmuSenang hatiku hidup bersamamu
Belahan jiwa jagalah diriku
Karena denganmu damai lah hatiku
Menualah bersamaku",indonesian,pop,FALSE
Sheila on 7,Lapang Dada,"Apa yang salah dengan lagu ini?Kenapa kembali 'ku mengingatmu?
Seperti aku bisa merasakan
Getaran jantung dan langkah kakimu
Kemana ini akan membawaku?Kau harus bisa, bisa berlapang dada
Kau harus bisa, bisa ambil hikmahnya
Karena semua, semua 'tak lagi sama
Walau kau tahu dia pun merasakannya, ah-ahDi jalan yang setapak kecil iniSeperti 'ku mendengar kau bernyanyi
Kau tahu, kau tahu, rasaku juga rasamu, uh-uhKau harus bisa, bisa berlapang dada
Kau harus bisa, bisa ambil hikmahnya
Karena semua, semua 'tak lagi sama
Walau kau tahu dia pun merasakannya, ah-ahKemana ini akan membawaku?
Aku takkan pernah tahuKau harus bisa, bisa berlapang dadaKau harus bisa, bisa ambil hikmahnya
Karena semua, semua 'tak lagi sama
Walau kau tahu dia pun merasakannyaNa-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na
Mengirim cahaya untukmu",indonesian,pop,FALSE
Ungu,Demi Wakru,"Aku yang tak pernah bisa lupakan dirinya
Yang kini hadir di antara kita
Namun ku juga takkan bisa menepis bayangmu
Yang s'lama ini temani hidupkuMaafkan aku menduakan cintamu
Berat rasa hatiku tinggalkan dirinya
Dan demi waktu yang bergulir di sampingmu
Maafkanlah diriku sepenuh hatimu
Seandainya bila ku bisa memilihKalau saja waktu itu ku tak jumpa dirinya
Mungkin semua takkan seperti ini
Dirimu dan dirinya kini ada di hatiku
Membawa aku dalam kehancuranMaafkan aku menduakan cintamu
Berat rasa hatiku tinggalkan dirinya
Dan demi waktu yang bergulir di sampingmu
Maafkanlah diriku sepenuh hatimu
Seandainya bila ku bisa memilih, hu-uhWo-ho-wo-ohMaafkan aku menduakan cintamu
Berat rasa hatiku tinggalkan dirinya
Dan demi waktu yang bergulir di sampingmu
Maafkanlah diriku sepenuh hatimuMaafkan aku menduakan cintamu
Berat rasa hatiku tinggalkan dirinya
Dan demi waktu yang bergulir di sampingmu
Maafkanlah diriku sepenuh hatimuMaafkan aku (oh, yeah-wo-oh, ho-oh-oh)
Maafkan aku, hu-uh, hu-uh",indonesian,pop,FALSE
Idgitaf,Takut,"Sudah di kepala dua
Harus mulai dari mana?
Ambisiku bergejolak
Antusias tak keruan
Banyak mimpi-mimpi yang 'kan kukejarLika-liku perjalanan
Ku terjebak sendirian
Tumbuh dari kebaikan
Bangkit dari kesalahan
Berusaha pendamkan kenyataan bahwaTakut tambah dewasa
Takut aku kecewa
Takut tak seindah yang kukira
Takut tambah dewasa
Takut aku kecewa
Takut tak sekuat yang kukiraAku tetap bernafas
Meski sering tercekat
Aku tetap bernafas
Meski aku tak merasa bebasPertengahan 25
Selanjutnya bagaimana?
Banyak mimpi yang terkubur
Mengorbankan waktu tidur
Ku tak tahu apa lagi yang 'kan kukejarTakut tambah dewasa
Takut aku kecewa
Takut tak seindah yang kukira
Takut tambah dewasa
Takut aku kecewa
Takut tak sekuat yang kukiraAku tetap bernafas
Meski sering tercekat
Aku tetap bernafas
Meski aku tak merasa bebas, ho-hoMaaf jika
Belum seturut yang dipinta
Maaf jika
Seperti tak tahu arahAku sudah dewasa
Aku sudah kecewa
Memang tak seindah yang kukira
Aku sudah dewasa
Aku sudah kecewa
Memang tak sekuat yang kukiraAku tetap bernafas
Meski sering tercekat
Aku tetap bernafas
Meski aku tak merasa bebasHo-uh
(Takut aku kecewa)
(Takut tak seindah yang kukira)
Memang tak seindah yang kukiraMemang tak sekuat yang kukiraEngkau tetap bernafas
Meski sering tercekat
Engkau tetap bernafas
Dan langkahmu 'kan terasa bebas
Dan hatimu 'kan terasa bebas
Dan jiwamu 'kan terasa bebasHm-hm-hm-hm-hm
Hm-mm",indonesian,pop,FALSE
Enzy Storia,Setengah Hati,"Aku pernah merasakan
Yakin akan dirimu
Untuk saling menyayangi
Dalam sebuah ikatanTernyata kamu dan aku
Berbeda keyakinan
Aku yakin kamu untukku
Kamu tidakAku sepenuh hati
Kamu setengah hati
Aku coba berjuang
Tapi kamu timbul, tenggelamSulit untuk terima
Ekspektasi kita berbeda
Harusnya berjuang bersama
Tapi kurasa jalan sendiriHu-hu-uhTernyata kamu dan aku
Berbeda keyakinan
Aku yakin kamu untukku
Kamu tidakTak mudah untuk pertahankan
Jika kau tau ikut berjuangAku sepenuh hati
Kamu setengah hati
Aku coba berjuang
Tapi kamu timbul, tenggelamSulit untuk terima
Ekspektasi kita berbeda
Harusnya berjuang bersama
Tapi kurasa jalan sendiriho-ho
(Kamu setengah hati) setengah hati
(Aku coba berjuang) oh-ho
Tapi kamu timbul, tenggelamSulit untuk terima
Ekspektasi kita berbeda
Harusnya berjuang bersama
Tapi kurasa jalan sendiriTapi kurasa cinta sendiri",indonesian,pop,FALSE
Superman Is Dead,Sunset Di Tanah Anarki,"Inilah Radio Revolusi Indonesia
Mempersembahkan sebuah langgam nostalgiaAndai ku malaikat, kupotong sayapku
Dan rasakan perih di dunia bersamamu
Perang 'kan berakhir, cinta 'kan abadi
Di tanah anarki, romansa terjadiDesing peluru tak bertuan
Hari-hari yang tak benderang
Setiap detik nyawa ini
Kupertahankan untukmuAlasanku ada di sini
Dan parasmu yang kurindukan
Di neraka 'kan kumenangkan
Hariku bersamamuAndai ku malaikat, kupotong sayapku
Dan rasakan perih di dunia bersamamu
Perang 'kan berakhir, cinta 'kan abadi
Di tanah anarki, romansa terjadiDalam gelisah, ku menunggu (ha-ah)
Berita tentang gerilyamu (ha-ah)
Semerbak rindu kuasai
Udara panas iniSepucuk surat telah tiba
Dan senja pun ikut berdebar
Kalimat indah dan kisahmu
Tentang perang dan cintaAndai ku malaikat, kupotong sayapku
Dan rasakan perih di dunia bersamamu
Perang 'kan berakhir, cinta 'kan abadi
Di tanah anarki, romansa terjadiKubasuh luka dengan air mata
Oh, hatimu beku serta jiwamu yang lelah
Tak henti lawan dunia
Dengan mimpi besar untuk cintaDan jalan untuk pulang
Di ujung waktu 'kan ada cahaya
Itulah aku
Raihlah mimpimuAndai ku malaikat, kupotong sayapku
Dan rasakan perih di dunia bersamamu
Perang 'kan berakhir, cinta 'kan abadi
Di tanah anarki, romansa terjadiAndai ku malaikat, kupotong sayapku
Dan rasakan perih di dunia bersamamu
Perang 'kan berakhir, cinta 'kan abadi
Di tanah anarki, romansa terjadiItulah aku
Raihlah mimpimu",indonesian,pop,FALSE
Rizky Febian,Makna Cinta,"Pagi hari menyapa dengan indah
Ku tersenyum melihat kau masih lelah
Sudah dengan berbagai cara
Agar tak terlewatkan hari yang indahBanyak hal yang tlah kita lewati
Di setiap harinyaDenganmu ku mengerti arti cinta
Arti cinta sesungguhnya
Tumbuh di setiap saat
Dan mengerti makna cinta
Makna cinta yang abadi
Kan kujaga cinta iniSudah dengan berbagai cara
Agar tak terlewatkan hari yang indah
Banyak hal yang tlah kita lewati
Di setiap harinyaDenganmu ku mengerti arti cinta
Arti cinta sesungguhnya
Tumbuh di setiap saat
Dan mengerti makna cinta
Makna cinta yang abadi
Kan kujaga cinta iniKita di pertemukan oleh cinta
Kita tak saling ingkar janji
Kita saling melengkapi
Hingga tua nantiOhDenganmu ku mengerti arti cinta
Arti cinta sesungguhnya
Tumbuh di setiap saat
Dan mengerti makna cinta
Makna cinta yang abadi
Kan kujaga cinta iniDenganmu ku mengerti arti cinta
Arti cinta sesungguhnya
Tumbuh di setiap saat
Dan mengerti makna cinta
Makna cinta yang abadi
Kan kujaga cinta ini",indonesian,pop,FALSE
Marion Jola,Pergi Menjauh,"Kau datang kembali
Sesaat dan pergi lagi
Di saat diriku
Terbiasa tuk sendiriKatakan padaku
Kau ingin tetap disini
Tak hilang
Tak ingin
Tinggalkan diriku lagiSulit bagiku menghindari
Terbawa rasa di hatiKasihku
Pergi yang jauh
Tinggalkan akuJangan buatku
Merana sendiri
Karena ku tak bisa
Memiliki dirimuBila kita takkan mungkin bersama
Buat apa dirimu
Muncul terus di hidupku
Kasih (oh kasih)Pergi yang jauh (pergi yang jauh)
Tinggalkan aku
Jangan buatku merana karena kau di sini (merana karna kau disini)Kasih ku (pergilah kasihku)
Pergi yang jauh (pergi jauh)
Tinggalkan akuJangan kau mainkan perasaanku
Karena ku tak akan bisa
Memiliki dirimu (tinggalkanlah tinggalkanlah)
Tinggalkan aku (tinggalkanlah tinggalkanlah)
Tinggalkanlah diriku",indonesian,pop,FALSE
Rossa,Terlanjur Cinta,"Hu-uh-uh (oh-uh, hu-uh)Waktu bergulir
Lambat merantai langkah perjalanan kita
Berjuta cerita terukir dalam
Menjadi sebuah dilema
Mengertikah engkau?
Perasaanku tak terhapuskanMalam menangis
Tetes embun membasahi mata hatiku
Mencoba bertahan di atas puing-puing
Cinta yang t'lah rapuh
Apa yang kugenggam
Tak mudah untuk aku lepaskanAku terlanjur cinta kepadamu
Dan t'lah kuberikan s'luruh hatiku
Tapi mengapa baru kini kau pertanyakan
Cintaku?Aku pun tak mengerti yang terjadi
Apa salah dan kurangku padamu?
Kini terlambat sudah untuk dipersalahkan
Kar'na s'kali cinta, aku tetap cintaHo-oh-uh-uhHu-uh-uhMencoba bertahan di atas puing-puing
Cinta yang t'lah rapuh
Apa yang kugenggam
Tak mudah untuk aku lepaskanHo-oh, aku terlanjur cinta kepadamu
Dan t'lah kuberikan s'luruh hatiku
Tapi mengapa baru kini kau pertanyakan
Kau pertanyakan cintaku?
Wo-oh-ohKini terlambat sudah untuk dipersalahkan
Kar'na s'kali cinta
Kar'na s'kali cinta, aku tetap cinta",indonesian,pop,FALSE
